Modularity,Eccentricity,Closeness,Harmonic,Betweeness,Clustering,Indegree,Outdegree,Degree,Domain,Proximity,Pageranks,Cluster,Eigenvector
27,1,1,1,3,0.166667,3,1,4,0.000297,0.000297,0.000149,486,0.005728
50,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,489,0.001692
51,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,491,0.001692
3,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,493,0.001692
344,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,495,0.001692
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,497,0.001692
52,1,1,1,0.333333,0,1,1,2,0.000099,0.000099,0.000066,499,0.001692
52,1,1,1,2.666667,0.083333,2,2,4,0.000198,0.000198,0.00008,502,0.004462
52,1,1,1,5,0.066667,3,3,6,0.000198,0.000198,0.00008,505,0.007232
192,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,508,0.001692
96,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,510,0.001692
96,0,0,0,0,0.333333,3,0,3,0.000297,0.000297,0.000164,512,0.005728
3,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,514,0.001692
3,1,1,1,5,0.133333,5,1,6,0.000495,0.000495,0.000194,516,0.009764
730,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,519,0.001692
730,0,0,0,0,0.5,2,0,2,0.000396,0.000264,0.000114,521,0.00472
53,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000065,523,0.002051
53,1,1,1,1,0,2,1,3,0.000099,0.000099,0.000065,525,0.004102
53,1,1,1,6,0.083333,2,2,4,0.000297,0.000223,0.000099,527,0.004429
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,531,0.001692
54,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,533,0.001692
54,1,1,1,3.5,0.083333,2,2,4,0.000198,0.000198,0.000134,536,0.00371
55,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,539,0.001692
55,1,1,1,2,0.166667,2,1,3,0.000198,0.000198,0.000134,541,0.00371
617,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,544,0.001692
56,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,546,0.001692
247,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000066,549,0.001692
247,1,1,1,90,0.043743,41,2,43,0.004459,0.004095,0.001105,554,0.09917
344,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,557,0.001692
101,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,559,0.001692
57,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,561,0.001692
57,1,1,1,4,0.083333,2,2,4,0.000198,0.000198,0.000134,563,0.00371
58,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,567,0.001692
520,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,570,0.001692
520,1,1,1,22,0.076923,11,2,13,0.001189,0.001097,0.000305,572,0.022912
953,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,576,0.001692
953,0,0,0,0,0.2,5,0,5,0.000495,0.000495,0.000223,578,0.009764
501,1,1,1,4,0,1,8,9,0.000099,0.000099,0.000073,580,0.001692
501,1,1,1,48,0.001323,2,26,28,0.000198,0.000198,0.000134,590,0.00371
59,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,610,0.001692
59,1,1,1,6,0.1,3,2,5,0.000297,0.000297,0.000164,612,0.005728
504,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,616,0.001692
60,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,618,0.001692
61,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,620,0.001692
320,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,623,0.001692
320,1,1,1,50,0.034188,25,2,27,0.002477,0.002477,0.000802,625,0.050123
62,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,629,0.001692
62,1,1,1,6,0.05,2,3,5,0.000198,0.000198,0.000134,631,0.00371
